CGPA,Internships,Projects,Communication,CP,DSA,ML,Cloud,Backlogs,Certs,Tier,ResumeScore,Placement
8.79,1,4,3,1,1,0,1,0,2,Tier 2,93,None
7.44,1,4,1,1,2,1,1,0,0,Tier 3,67,Service
8.32,2,4,1,1,3,0,0,1,3,Tier 2,52,None
9.43,3,5,5,0,1,1,0,1,0,Tier 2,85,None
7.4,2,2,1,1,5,1,0,1,5,Tier 2,100,Service
9.07,1,1,3,1,2,0,0,0,5,Tier 2,87,None
9.64,1,2,4,1,1,0,1,0,3,Tier 2,95,None
6.44,2,5,4,0,3,0,1,1,3,Tier 3,87,None
6.99,2,5,2,1,3,0,0,1,3,Tier 2,53,None
6.53,1,1,1,1,3,1,0,0,3,Tier 3,40,None
8.97,0,1,1,0,3,1,0,0,1,Tier 1,40,None
7.07,2,4,1,1,1,0,0,1,0,Tier 1,94,Service
8.47,3,2,2,1,4,1,1,1,1,Tier 3,48,None
7.17,3,5,1,1,2,0,1,1,4,Tier 3,83,Service
6.66,3,1,3,0,2,1,1,1,4,Tier 1,56,None
9.89,3,2,2,1,1,1,0,1,3,Tier 3,93,Product
6.58,1,4,3,0,5,1,1,1,2,Tier 2,44,None
9.63,2,4,1,1,3,1,0,1,3,Tier 3,78,None
7.71,0,5,2,1,4,0,1,1,1,Tier 3,95,None
9.44,2,2,4,1,3,1,0,0,2,Tier 1,76,None
8.61,1,3,3,0,2,1,0,1,3,Tier 1,54,None
9.81,0,5,3,1,2,0,0,0,0,Tier 3,64,None
7.06,2,3,2,0,2,1,0,0,0,Tier 1,89,Service
9.49,3,1,4,0,5,1,1,1,3,Tier 1,60,None
8.91,2,3,5,0,2,0,0,1,4,Tier 1,97,None
6.28,0,2,4,0,2,0,1,1,3,Tier 1,56,None
8.47,3,2,4,1,3,0,0,0,4,Tier 1,78,None
7.59,3,5,4,0,4,0,1,1,1,Tier 2,51,None
7.01,3,3,1,0,3,0,1,1,1,Tier 1,70,Service
8.77,3,2,4,1,3,1,0,1,0,Tier 2,49,None
9.19,2,3,1,1,3,1,0,0,4,Tier 2,49,None
9.97,1,2,5,0,4,1,0,0,4,Tier 2,70,None
9.24,2,3,5,0,1,0,1,0,5,Tier 3,55,None
8.92,1,4,1,1,5,0,1,1,5,Tier 3,72,None
6.17,0,3,4,1,2,1,1,1,2,Tier 2,49,None
6.78,3,1,5,0,5,1,1,0,2,Tier 2,77,Service
8.47,3,4,5,0,5,0,1,1,1,Tier 3,74,None
7.33,1,2,3,1,4,1,0,1,3,Tier 2,83,Service
7.3,2,1,5,1,4,1,0,0,1,Tier 1,80,Service
7.44,1,2,3,1,4,1,0,1,3,Tier 2,98,Service
8.2,0,5,3,1,2,0,1,0,4,Tier 3,68,None
7.48,3,5,4,0,1,0,1,1,0,Tier 3,50,None
7.33,0,1,1,0,5,1,0,1,2,Tier 3,75,Service
9.29,0,1,2,0,5,0,0,0,4,Tier 2,63,None
6.02,3,2,1,0,4,0,0,1,3,Tier 1,98,None
6.37,1,4,4,0,5,0,0,0,2,Tier 2,50,None
6.04,1,2,3,0,3,1,1,1,3,Tier 3,58,None
8.76,1,3,5,0,5,0,1,1,4,Tier 3,100,None
7.87,0,3,2,1,5,0,1,0,4,Tier 1,59,None
6.69,2,1,4,0,4,0,1,1,0,Tier 3,90,Service
9.45,2,3,4,0,2,0,1,0,3,Tier 2,90,None
9.87,3,5,1,0,1,1,0,0,1,Tier 1,96,None
8.55,2,2,4,1,3,0,1,0,0,Tier 2,65,None
6.76,0,1,1,1,4,1,0,0,5,Tier 2,80,Service
6.11,0,2,4,1,2,1,1,0,4,Tier 2,74,None
7.99,0,3,1,1,5,0,0,0,4,Tier 3,80,Service
9.42,1,3,1,0,4,0,1,1,0,Tier 1,50,None
9.99,0,2,4,0,2,0,1,0,0,Tier 3,79,None
6.61,1,4,3,0,4,0,0,1,4,Tier 1,61,Service
6.89,3,4,1,1,4,1,1,1,2,Tier 1,79,Service
8.88,2,4,2,1,2,1,0,0,5,Tier 2,83,Product
9.45,0,4,4,1,2,0,0,0,1,Tier 3,56,None
8.24,0,2,5,1,3,0,0,1,1,Tier 3,68,None
9.81,3,4,2,0,2,1,1,0,1,Tier 1,68,None
8.21,3,4,1,0,1,0,0,1,2,Tier 2,92,None
9.19,3,1,1,0,2,0,1,0,3,Tier 3,99,None
7.8,3,3,3,1,4,0,0,1,0,Tier 3,62,Service
8.93,2,4,5,0,2,1,1,0,4,Tier 1,43,None
8.51,3,3,5,0,3,1,0,1,3,Tier 2,99,None
9.5,2,5,3,0,4,0,1,1,2,Tier 3,77,None
7.74,0,1,1,0,5,0,0,1,1,Tier 1,68,None
9.18,2,1,3,1,2,0,1,0,3,Tier 1,97,None
7.93,0,3,1,0,4,1,0,1,5,Tier 1,53,None
9.81,1,2,5,0,4,0,1,0,0,Tier 1,50,None
6.36,1,1,1,0,1,0,0,1,5,Tier 3,88,None
6.96,1,5,3,1,1,1,1,0,0,Tier 1,68,Service
7.42,2,4,2,1,3,0,1,0,2,Tier 1,47,None
9.82,3,1,4,0,4,0,1,0,3,Tier 1,59,None
7.63,1,5,1,0,3,0,0,1,0,Tier 2,99,Service
8.44,1,4,1,0,1,1,1,1,3,Tier 1,81,None
6.56,0,3,3,1,5,1,1,1,3,Tier 1,60,None
7.58,3,4,4,0,1,0,1,1,5,Tier 2,56,None
7.37,2,3,1,1,4,0,0,1,2,Tier 3,46,None
7.31,3,3,2,0,4,0,1,1,4,Tier 3,52,None
7.21,0,1,4,0,2,0,0,1,0,Tier 2,49,None
8.64,0,2,2,0,5,1,0,0,4,Tier 1,42,None
7.94,2,4,1,0,1,1,0,0,2,Tier 2,70,Service
6.86,0,5,2,1,3,1,0,1,3,Tier 2,44,None
8.46,3,2,2,0,3,0,0,0,4,Tier 2,56,None
8.63,1,4,5,0,2,0,0,0,1,Tier 1,42,None
6.44,2,2,2,0,4,1,1,0,3,Tier 2,49,None
6.24,2,4,5,0,3,0,1,1,5,Tier 1,82,None
8.82,3,4,3,1,5,1,0,1,4,Tier 2,59,None
9.99,0,4,2,1,2,1,1,1,1,Tier 2,91,Product
6.52,3,4,2,1,2,0,1,0,5,Tier 2,63,Service
8.82,3,1,3,1,4,1,0,0,5,Tier 1,46,None
8.25,1,2,3,0,4,1,0,0,0,Tier 3,98,None
7.31,1,1,1,0,3,1,0,0,2,Tier 3,76,Service
6.2,0,2,1,1,3,0,1,0,2,Tier 3,83,None
8.72,3,4,1,1,2,0,0,0,2,Tier 1,77,None
7.51,2,4,2,0,2,1,1,1,1,Tier 1,86,Service
8.77,3,4,4,1,4,0,1,0,4,Tier 3,87,None
9.81,2,2,4,0,3,0,0,1,1,Tier 2,97,None
7.36,2,1,2,0,3,1,1,0,5,Tier 2,80,Service
7.39,3,5,5,0,1,0,1,0,1,Tier 2,92,Service
9.22,0,5,5,1,1,1,0,0,5,Tier 1,54,None
9.21,2,4,4,0,2,0,0,0,4,Tier 3,40,None
8.04,1,1,1,1,3,0,1,0,2,Tier 1,59,None
9.84,0,5,2,0,3,0,1,0,4,Tier 1,68,None
8.48,2,2,1,0,4,0,0,0,1,Tier 2,92,None
7.58,2,2,1,1,5,1,1,1,1,Tier 3,100,Service
6.46,2,3,2,0,1,0,0,1,0,Tier 1,66,None
7.63,1,4,2,1,2,1,0,1,4,Tier 1,99,Service
8.28,3,4,5,1,3,0,1,0,1,Tier 3,52,None
7.07,3,3,5,1,1,0,0,0,0,Tier 1,84,Service
7.77,2,3,3,0,2,1,0,0,1,Tier 1,69,Service
10.0,2,1,3,1,4,1,1,1,4,Tier 3,87,Product
9.3,1,2,4,0,5,0,1,1,5,Tier 3,48,None
7.92,0,5,2,0,1,1,0,1,5,Tier 1,45,None
6.23,2,2,5,1,3,1,1,0,4,Tier 3,77,None
8.99,2,4,1,1,4,1,1,1,4,Tier 2,70,None
